Script_BNGetFriendInviteInfo 0xE705C0
Script_BNSendFriendInvite 0xE706C0
Script_BNSendFriendInviteByID 0xE707F0
Script_BNAcceptFriendInvite 0xE708A0
Script_BNDeclineFriendInvite 0xE70930
Script_BNCheckBattleTagInviteToUnit 0xE71AC0
Script_BNCheckBattleTagInviteToGuildMember 0xE71B60
Script_BNSendVerifiedBattleTagInvite 0xE71BD0
Script_BNSetAFK 0xE709C0
Script_BNSetDND 0xE70A30
Script_BNSetCustomMessage 0xE70AA0
Script_BNSendWhisper 0xE70C40
Script_BNSendGameData 0xE70DD0
Script_BNGetNumBlocked 0xE71110
Script_BNGetBlockedInfo 0xE71190
Script_BNIsBlocked 0xE71270
Script_BNSetBlocked 0xE71360
Script_BNSetSelectedBlock 0xE71410
Script_BNGetSelectedBlock 0xE714E0
Script_BNConnected 0xE71550
Script_IsBNLogin 0xE71580
Script_BNFeaturesEnabled 0xE715A0
Script_BNRequestFOFInfo 0xE715D0
Script_BNGetNumFOF 0xE71680
Script_BNGetFOFInfo 0xE71710
Script_BNIsSelf 0xE71990
Script_BNIsFriend 0xE71A30
Script_BNTokenFindName 0xE6FD70
Script_BNInviteFriend 0xE703B0
Script_BNRequestInviteFriend 0xE70450
Script_GetActionInfo 0xE72C80
Script_GetActionTexture 0xE72E70
Script_GetActionCount 0xE73060
Script_GetActionCooldown 0xE730E0
Script_GetActionCharges 0xE731C0
Script_GetActionLossOfControlCooldown 0xE73410
Script_GetActionAutocast 0xE734A0
Script_GetActionText 0xE736A0
Script_HasAction 0xE73740
Script_UseAction 0xE737E0
Script_PickupAction 0xE73890
Script_PlaceAction 0xE73A40
Script_IsAttackAction 0xE73AA0
Script_IsCurrentAction 0xE73B00
Script_IsAutoRepeatAction 0xE73B60
Script_IsUsableAction 0xE73BC0
Script_IsConsumableAction 0xE73C60
Script_IsStackableAction 0xE73CC0
Script_IsItemAction 0xE73DA0
Script_IsEquippedAction 0xE73E20
Script_ActionHasRange 0xE73F90
Script_IsActionInRange 0xE73FF0
Script_GetBonusBarOffset 0xE740B0
Script_GetBonusBarIndex 0xE740F0
Script_HasBonusActionBar 0xE74120
Script_GetTempShapeshiftBarIndex 0xE74140
Script_HasTempShapeshiftActionBar 0xE74160
Script_GetMultiCastBarIndex 0xE74180
Script_ChangeActionBarPage 0xE741A0
Script_GetActionBarPage 0xE74220
Script_GetActionBarToggles 0xE74240
Script_SetActionBarToggles 0xE742C0
Script_SetActionUIButton 0xE74340
Script_GetNumBindings 0xE909E0
Script_GetBinding 0xE90A10
Script_SetBinding 0xE90B40
Script_SetBindingSpell 0xE90C20
Script_SetBindingItem 0xE90E00
Script_SetBindingMacro 0xE90FE0
Script_SetBindingClick 0xE911C0
Script_SetOverrideBinding 0xE914A0
Script_SetOverrideBindingSpell 0xE915B0
Script_SetOverrideBindingItem 0xE917B0
Script_SetOverrideBindingMacro 0xE919A0
Script_SetOverrideBindingClick 0xE91BA0
Script_ClearOverrideBindings 0xE91E60
Script_GetBindingKey 0xE91ED0
Script_GetBindingAction 0xE92120
Script_GetBindingByKey 0xE92320
Script_GetBindingText 0xE923F0
Script_RunBinding 0xE92490
Script_GetCurrentBindingSet 0xE92580
Script_LoadBindings 0xE925B0
Script_AttemptToSaveBindings 0xE92600
Script_GetNumModifiedClickActions 0xE92700
Script_GetModifiedClickAction 0xE92730
Script_SetModifiedClick 0xE927F0
Script_GetModifiedClick 0xE928C0
Script_IsModifiedClick 0xE92990
Script_GetClickFrame 0xE929E0
Script_CloseMail 0xE9C950
Script_ClearSendMail 0xE9C970
Script_ClickSendMailItemButton 0xE9C990
Script_SetSendMailMoney 0xE9CB90
Script_GetSendMailMoney 0xE9CC40
Script_SetSendMailCOD 0xE9CC70
Script_GetSendMailCOD 0xE9CD10
Script_HasSendMailItem 0xE9CD40
Script_GetSendMailItem 0xE9CDD0
Script_GetSendMailItemLink 0xE9CF50
Script_GetSendMailPrice 0xE9D020
Script_SendMail 0xE9D0A0
Script_CheckInbox 0xE9D2F0
Script_GetInboxNumItems 0xE9D380
Script_GetInboxHeaderInfo 0xE9D3C0
Script_GetInboxText 0xE9D890
Script_GetInboxInvoiceInfo 0xE9DD10
Script_HasInboxItem 0xE9E1D0
Script_GetInboxItem 0xE9E290
Script_GetInboxItemLink 0xE9E440
Script_TakeInboxMoney 0xE9E500
Script_TakeInboxItem 0xE9E600
Script_TakeInboxTextItem 0xE9E740
Script_ReturnInboxItem 0xE9E850
Script_DeleteInboxItem 0xE9E940
Script_InboxItemCanDelete 0xE9EA90
Script_HasNewMail 0xE9EB60
Script_ComplainInboxItem 0xE9EBA0
Script_CanComplainInboxItem 0xE9EBF0
Script_GetLatestThreeSenders 0xE9EC50
Script_SetSendMailShowing 0xE9C900
Script_AutoLootMailItem 0xE9ED00
Script_RespondMailLockSendItem 0xE9EDF0
Script_CloseMerchant 0xEABBC0
Script_GetMerchantNumItems 0xEABBD0
Script_GetMerchantItemInfo 0xEABBF0
Script_GetMerchantItemCostInfo 0xEAC180
Script_GetMerchantItemCostItem 0xEAC3A0
Script_GetBuybackItemInfo 0xEAC7D0
Script_GetBuybackItemLink 0xEACA30
Script_GetMerchantItemLink 0xEACB10
Script_GetMerchantItemID 0xEACD20
